day,month,year,category,number of vehicles,number of sites
22,3,2020,1,85,1
22,3,2020,2,9457,1
22,3,2020,3,991,1
22,3,2020,4,46,1
22,3,2020,5,57,1
22,3,2020,6,63,1
22,3,2020,7,62,1
5,3,2020,1,101,1
5,3,2020,2,18089,1
5,3,2020,3,2958,1
5,3,2020,4,135,1
5,3,2020,5,495,1
5,3,2020,6,497,1
5,3,2020,7,198,1
15,3,2020,1,55,1
15,3,2020,2,10585,1
15,3,2020,3,1170,1
15,3,2020,4,65,1
15,3,2020,5,78,1
15,3,2020,6,95,1
15,3,2020,7,92,1
6,3,2020,1,95,1
6,3,2020,2,19458,1
6,3,2020,3,3097,1
6,3,2020,4,139,1
6,3,2020,5,530,1
6,3,2020,6,480,1
6,3,2020,7,187,1
2,3,2020,1,85,1
2,3,2020,2,16772,1
2,3,2020,3,2619,1
2,3,2020,4,125,1
2,3,2020,5,498,1
2,3,2020,6,434,1
2,3,2020,7,204,1
18,3,2020,1,48,1
18,3,2020,2,10487,1
18,3,2020,3,2361,1
18,3,2020,4,68,1
18,3,2020,5,532,1
18,3,2020,6,466,1
18,3,2020,7,159,1
12,3,2020,1,88,1
12,3,2020,2,16952,1
12,3,2020,3,2815,1
12,3,2020,4,121,1
12,3,2020,5,574,1
12,3,2020,6,476,1
12,3,2020,7,160,1
9,3,2020,1,84,1
9,3,2020,2,16634,1
9,3,2020,3,2612,1
9,3,2020,4,138,1
9,3,2020,5,443,1
9,3,2020,6,422,1
9,3,2020,7,212,1
10,3,2020,1,78,1
10,3,2020,2,16373,1
10,3,2020,3,2687,1
10,3,2020,4,126,1
10,3,2020,5,499,1
10,3,2020,6,454,1
10,3,2020,7,218,1
17,3,2020,1,38,1
17,3,2020,2,7766,1
17,3,2020,3,1149,1
17,3,2020,4,52,1
17,3,2020,5,160,1
17,3,2020,6,238,1
17,3,2020,7,85,1
16,3,2020,1,49,1
16,3,2020,2,11860,1
16,3,2020,3,2420,1
16,3,2020,4,80,1
16,3,2020,5,500,1
16,3,2020,6,521,1
16,3,2020,7,187,1
11,3,2020,1,85,1
11,3,2020,2,16732,1
11,3,2020,3,2609,1
11,3,2020,4,128,1
11,3,2020,5,507,1
11,3,2020,6,501,1
11,3,2020,7,172,1
14,3,2020,1,62,1
14,3,2020,2,12888,1
14,3,2020,3,1812,1
14,3,2020,4,83,1
14,3,2020,5,193,1
14,3,2020,6,218,1
14,3,2020,7,195,1
7,3,2020,1,89,1
7,3,2020,2,15757,1
7,3,2020,3,1913,1
7,3,2020,4,103,1
7,3,2020,5,189,1
7,3,2020,6,218,1
7,3,2020,7,174,1
13,3,2020,1,79,1
13,3,2020,2,16534,1
13,3,2020,3,2787,1
13,3,2020,4,102,1
13,3,2020,5,567,1
13,3,2020,6,485,1
13,3,2020,7,202,1
8,3,2020,1,55,1
8,3,2020,2,14463,1
8,3,2020,3,1397,1
8,3,2020,4,84,1
8,3,2020,5,78,1
8,3,2020,6,83,1
8,3,2020,7,97,1
4,3,2020,1,113,1
4,3,2020,2,17404,1
4,3,2020,3,2690,1
4,3,2020,4,119,1
4,3,2020,5,531,1
4,3,2020,6,479,1
4,3,2020,7,174,1
3,3,2020,1,62,1
3,3,2020,2,17141,1
3,3,2020,3,2734,1
3,3,2020,4,139,1
3,3,2020,5,508,1
3,3,2020,6,419,1
3,3,2020,7,145,1
17,2,2020,1,96,1
17,2,2020,2,16964,1
17,2,2020,3,2603,1
17,2,2020,4,112,1
17,2,2020,5,427,1
17,2,2020,6,450,1
17,2,2020,7,170,1
22,2,2020,1,66,1
22,2,2020,2,14794,1
22,2,2020,3,1821,1
22,2,2020,4,100,1
22,2,2020,5,140,1
22,2,2020,6,163,1
22,2,2020,7,164,1
20,2,2020,1,75,1
20,2,2020,2,18120,1
20,2,2020,3,2789,1
20,2,2020,4,108,1
20,2,2020,5,526,1
20,2,2020,6,414,1
20,2,2020,7,148,1
26,2,2020,1,80,1
26,2,2020,2,16386,1
26,2,2020,3,2685,1
26,2,2020,4,130,1
26,2,2020,5,488,1
26,2,2020,6,419,1
26,2,2020,7,151,1
24,2,2020,1,57,1
24,2,2020,2,14510,1
24,2,2020,3,2443,1
24,2,2020,4,132,1
24,2,2020,5,422,1
24,2,2020,6,349,1
24,2,2020,7,125,1
27,2,2020,1,77,1
27,2,2020,2,17690,1
27,2,2020,3,2734,1
27,2,2020,4,135,1
27,2,2020,5,484,1
27,2,2020,6,431,1
27,2,2020,7,133,1
7,4,2020,1,19,1
7,4,2020,2,4675,1
7,4,2020,3,1059,1
7,4,2020,4,50,1
7,4,2020,5,250,1
7,4,2020,6,289,1
7,4,2020,7,91,1
7,4,2020,1,19,1
7,4,2020,2,4675,1
7,4,2020,3,1059,1
7,4,2020,4,50,1
7,4,2020,5,250,1
7,4,2020,6,289,1
7,4,2020,7,91,1
15,2,2020,1,62,1
15,2,2020,2,14136,1
15,2,2020,3,1791,1
15,2,2020,4,89,1
15,2,2020,5,177,1
15,2,2020,6,178,1
15,2,2020,7,140,1
28,2,2020,1,98,1
28,2,2020,2,19408,1
28,2,2020,3,2922,1
28,2,2020,4,140,1
28,2,2020,5,483,1
28,2,2020,6,415,1
28,2,2020,7,152,1
21,2,2020,1,86,1
21,2,2020,2,18793,1
21,2,2020,3,2874,1
21,2,2020,4,110,1
21,2,2020,5,501,1
21,2,2020,6,376,1
21,2,2020,7,161,1
18,2,2020,1,95,1
18,2,2020,2,17701,1
18,2,2020,3,2746,1
18,2,2020,4,107,1
18,2,2020,5,553,1
18,2,2020,6,393,1
18,2,2020,7,171,1
23,2,2020,1,51,1
23,2,2020,2,13991,1
23,2,2020,3,1554,1
23,2,2020,4,74,1
23,2,2020,5,73,1
23,2,2020,6,60,1
23,2,2020,7,74,1
29,2,2020,1,58,1
29,2,2020,2,14264,1
29,2,2020,3,1788,1
29,2,2020,4,110,1
29,2,2020,5,150,1
29,2,2020,6,163,1
29,2,2020,7,167,1
25,2,2020,1,66,1
25,2,2020,2,16156,1
25,2,2020,3,2530,1
25,2,2020,4,113,1
25,2,2020,5,458,1
25,2,2020,6,444,1
25,2,2020,7,113,1
19,2,2020,1,79,1
19,2,2020,2,17304,1
19,2,2020,3,2728,1
19,2,2020,4,121,1
19,2,2020,5,455,1
19,2,2020,6,428,1
19,2,2020,7,128,1
16,2,2020,1,55,1
16,2,2020,2,12877,1
16,2,2020,3,1124,1
16,2,2020,4,78,1
16,2,2020,5,59,1
16,2,2020,6,53,1
16,2,2020,7,51,1
27,2,2020,1,46,1
27,2,2020,2,15203,1
27,2,2020,3,1594,1
27,2,2020,4,103,1
27,2,2020,5,440,1
27,2,2020,6,1864,1
27,2,2020,7,130,1
7,4,2020,1,6,1
7,4,2020,2,2926,1
7,4,2020,3,578,1
7,4,2020,4,16,1
7,4,2020,5,212,1
7,4,2020,6,1404,1
7,4,2020,7,69,1
7,4,2020,1,6,1
7,4,2020,2,2926,1
7,4,2020,3,578,1
7,4,2020,4,16,1
7,4,2020,5,212,1
7,4,2020,6,1404,1
7,4,2020,7,69,1
29,2,2020,1,16,1
29,2,2020,2,10315,1
29,2,2020,3,709,1
29,2,2020,4,102,1
29,2,2020,5,165,1
29,2,2020,6,655,1
29,2,2020,7,53,1
28,2,2020,1,25,1
28,2,2020,2,17206,1
28,2,2020,3,1612,1
28,2,2020,4,119,1
28,2,2020,5,443,1
28,2,2020,6,1744,1
28,2,2020,7,119,1
26,2,2020,1,14,1
26,2,2020,2,14388,1
26,2,2020,3,1631,1
