day,month,year,category,number of vehicles,number of sites,,19718.82095
19,3,2019,7,37990,323,,
20,3,2019,0,1036,324,,
20,3,2019,1,26760,324,,
20,3,2019,2,6197814,324,,
20,3,2019,3,893197,324,,
20,3,2019,4,56981,324,,
20,3,2019,5,213811,324,,
20,3,2019,6,387147,324,,
20,3,2019,7,38154,324,,
21,3,2019,0,767,324,,
21,3,2019,1,28041,324,,
21,3,2019,2,6370221,324,,
21,3,2019,3,922553,324,,
21,3,2019,4,59505,324,,
21,3,2019,5,220568,324,,
21,3,2019,6,395101,324,,
21,3,2019,7,40790,324,,
22,3,2019,0,825,324,,
22,3,2019,1,26669,324,,
22,3,2019,2,6735930,324,,
22,3,2019,3,928018,324,,
22,3,2019,4,59712,324,,
22,3,2019,5,217268,324,,
22,3,2019,6,381537,324,,
22,3,2019,7,41573,324,,
23,3,2019,0,453,324,,
23,3,2019,1,26627,324,,
23,3,2019,2,5659526,324,,
23,3,2019,3,548314,324,,
23,3,2019,4,48485,324,,
23,3,2019,5,82584,324,,
23,3,2019,6,142569,324,,
23,3,2019,7,37136,324,,
24,3,2019,0,350,324,,
24,3,2019,1,27357,324,,
24,3,2019,2,5609510,324,,
24,3,2019,3,406043,324,,
24,3,2019,4,43906,324,,
24,3,2019,5,36289,324,,
24,3,2019,6,70720,324,,
24,3,2019,7,23712,324,,
25,3,2019,0,721,324,,
25,3,2019,1,26706,324,,
25,3,2019,2,6090671,324,,
25,3,2019,3,878884,324,,
25,3,2019,4,54818,324,,
25,3,2019,5,206423,324,,
25,3,2019,6,368524,324,,
25,3,2019,7,39873,324,,
26,3,2019,0,835,324,,
26,3,2019,1,29223,324,,
26,3,2019,2,6213906,324,,
26,3,2019,3,890408,324,,
26,3,2019,4,57040,324,,
26,3,2019,5,217153,324,,
26,3,2019,6,382662,324,,
26,3,2019,7,40818,324,,
27,3,2019,0,769,324,,
27,3,2019,1,30041,324,,
27,3,2019,2,6339409,324,,
27,3,2019,3,907676,324,,
27,3,2019,4,57357,324,,
27,3,2019,5,220993,324,,
27,3,2019,6,384602,324,,
27,3,2019,7,41264,324,,
28,3,2019,0,807,325,,
28,3,2019,1,31517,325,,
28,3,2019,2,6573665,325,,
28,3,2019,3,933168,325,,
28,3,2019,4,58439,325,,
28,3,2019,5,224503,325,,
28,3,2019,6,388827,325,,
28,3,2019,7,43765,325,,
29,3,2019,0,741,325,,
29,3,2019,1,32458,325,,
29,3,2019,2,6979852,325,,
29,3,2019,3,943204,325,,
29,3,2019,4,62452,325,,
29,3,2019,5,217653,325,,
29,3,2019,6,379298,325,,
29,3,2019,7,44998,325,,
30,3,2019,0,357,325,,
30,3,2019,1,27136,325,,
30,3,2019,2,5940922,325,,
30,3,2019,3,565047,325,,
30,3,2019,4,51568,325,,
30,3,2019,5,83655,325,,
30,3,2019,6,141343,325,,
30,3,2019,7,37275,325,,
31,3,2019,0,321,329,,
31,3,2019,1,26661,329,,
31,3,2019,2,6017661,329,,
31,3,2019,3,417716,329,,
31,3,2019,4,44911,329,,
31,3,2019,5,36548,329,,
31,3,2019,6,70301,329,,
31,3,2019,7,23377,329,,
1,2,2020,0,196,342,,
1,2,2020,1,10952,342,,
1,2,2020,2,3158938,342,,
1,2,2020,3,313018,342,,
1,2,2020,4,26010,342,,
1,2,2020,5,50837,342,,
1,2,2020,6,74047,342,,
1,2,2020,7,15834,342,,
2,2,2020,0,122,342,,
2,2,2020,1,9831,342,,
2,2,2020,2,3111047,342,,
2,2,2020,3,229216,342,,
2,2,2020,4,22693,342,,
2,2,2020,5,29537,342,,
2,2,2020,6,42331,342,,
2,2,2020,7,10227,342,,
3,2,2020,0,517,342,,
3,2,2020,1,13285,342,,
3,2,2020,2,3420455,342,,
3,2,2020,3,512826,342,,
3,2,2020,4,30425,342,,
3,2,2020,5,128616,342,,
3,2,2020,6,215896,342,,
3,2,2020,7,19176,342,,
4,2,2020,0,823,342,,
4,2,2020,1,13729,342,,
4,2,2020,2,3514442,342,,
4,2,2020,3,526502,342,,
4,2,2020,4,29624,342,,
4,2,2020,5,136397,342,,
4,2,2020,6,223591,342,,
4,2,2020,7,20665,342,,
5,2,2020,0,578,342,,
5,2,2020,1,13809,342,,
5,2,2020,2,3476551,342,,
5,2,2020,3,519721,342,,
5,2,2020,4,30770,342,,
5,2,2020,5,135327,342,,
5,2,2020,6,218716,342,,
5,2,2020,7,19979,342,,
6,2,2020,0,361,342,,
6,2,2020,1,14540,342,,
6,2,2020,2,3618793,342,,
6,2,2020,3,539629,342,,
6,2,2020,4,31300,342,,
6,2,2020,5,138872,342,,
6,2,2020,6,223828,342,,
6,2,2020,7,20968,342,,
7,2,2020,0,318,342,,
7,2,2020,1,14177,342,,
7,2,2020,2,3831582,342,,
7,2,2020,3,547792,342,,
7,2,2020,4,32433,342,,
7,2,2020,5,134394,342,,
7,2,2020,6,218710,342,,
7,2,2020,7,20449,342,,
8,2,2020,0,171,342,,
8,2,2020,1,9376,342,,
8,2,2020,2,3068428,342,,
8,2,2020,3,299215,342,,
8,2,2020,4,24117,342,,
8,2,2020,5,49026,342,,
8,2,2020,6,77242,342,,
8,2,2020,7,14178,342,,
9,2,2020,0,136,342,,
9,2,2020,1,6467,342,,
9,2,2020,2,2544460,342,,
9,2,2020,3,191428,342,,
